"Story","Title","Result","Date","Stability","Duration (s)"
"HotelCost","the user selects the price of the most appropriate room for their respective reservation","SUCCESS","2023-09-27T20:39:25.1130015-05:00[America/Bogota]","0.0","29.7"
"Login","he user will log in to access the services of the page","SUCCESS","2023-09-28T09:33:08.4860048-05:00[America/Bogota]","0.0","34.44"
