"Story","Title","Result","Date","Stability","Duration (s)"
"Accommodation","he user can make the hotel reservation according to his convenience","FAILURE","2023-09-28T11:09:05.1667963-05:00[America/Bogota]","0.0","35.99"
"HotelCost","the user selects the price of the most appropriate room for their respective reservation","SUCCESS","2023-09-27T20:39:25.1130015-05:00[America/Bogota]","0.0","29.7"
"Login","he user will log in to access the services of the page","SUCCESS","2023-09-28T09:33:08.4860048-05:00[America/Bogota]","0.0","34.44"
"Reservation","the home user will start the reservation of his hotel","FAILURE","2023-09-28T09:28:00.7749256-05:00[America/Bogota]","0.0","49.35"
